Function name (including params),Section,Is it on PostGIS function,Note,Support level,PostGIS Gaps,Can we support it,In Plain English,ID
ST_DumpSegments(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,"Returns each edge as `(path integer[], geom geometry)`.",Supported in 2D,"PostGIS returns a path array detailing the source of the segment within complex MultiGeometries. YB: The path is just [1], [2] because there is no hierarchy to report.","Possible, by building a C-extension geometry type. A proper GSERIALIZED struct tracks the hierarchy, allowing the dump function to populate the full path array correctly.",Extract every single line segment out of a complex shape and return them as individual rows.,187
"ST_SnapToGrid(p_geom geometry, p_size double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Rounds coordinates to nearest grid multiple.,Supported in 2D,"PostGIS allows snapping Z/M coordinates to different grid sizes, supports origin offsets, and handles multi-geometries. YB: 2D X/Y snapping only, no origin offset, single array.","Possible, by building a C-extension geometry type. A proper struct allows iterating over all parts of a complex shape and supports Z/M coordinates for full multi-dimensional grid snapping.",Round all the coordinates so they snap neatly to a grid.,188
"ST_RemoveRepeatedPoints(p_geom geometry, p_tolerance double precision DEFAULT 0)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Removes consecutive duplicate vertices within tolerance.,Supported in 2D,"PostGIS applies this recursively to every ring inside every polygon of a MultiPolygon, and includes 3D distances. YB: Applies the 2D algorithm to a single array only.","Possible, by building a C-extension geometry type. A proper struct allows iterating over and editing all rings within a complex geometry hierarchy, while incorporating 3D distance math.",Delete back-to-back duplicate coordinates to clean up the data.,189
"ST_Segmentize(p_geom geometry, p_max_len double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Subdivides long segments by inserting intermediate vertices. (divided by length),Supported in 2D,"PostGIS applies this recursively to every ring inside every polygon of a MultiPolygon, and includes 3D distances. YB: Applies the 2D algorithm to a single array only.","Possible, by building a C-extension geometry type. A proper struct allows iterating over and editing all rings within a complex geometry hierarchy, while incorporating 3D distance math.",Chop long lines into smaller segments so no piece is longer than X miles.,190
"ST_ClipByBox2D(p_geom geometry, p_xmin double precision, p_ymin double precision, p_xmax double precision, p_ymax double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Clips polygon to axis-aligned bounding box using Sutherland-Hodgman. It returns the overlap of two shape.,Partial,"PostGIS clips any geometry type against a box2d. YB: single polygon only, no multi-geometry.",,Cut this shape so only the part inside this rectangle remains.,191
"ST_ClipByBox2D(p_geom geometry, p_box geometry)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Clips polygon to axis-aligned bounding box using Sutherland-Hodgman. It returns the overlap of two shape.,Partial,"PostGIS clips any geometry type against a box2d. YB: single polygon only, no multi-geometry.",,Cut this shape so only the part inside this rectangle remains.,192
"ST_GeneratePoints(p_geom geometry, p_npoints integer)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Random points inside a polygon via rejection sampling.,Partial,"PostGIS returns MultiPoint; has seed param (since 3.0) for deterministic results; supports MultiPolygon input. YB: returns SETOF geometry (individual points), no seed param, single polygon only.",,Randomly scatter 50 points inside this polygon.,193
"ST_ChaikinSmoothing(p_geom geometry, p_niterations integer DEFAULT 1)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Corner-cutting smoothing.,Partial,"PostGIS has preserveEndPoints param (default false), max 5 iterations, handles 3D/M, proper ring closure for polygons. YB: missing preserveEndPoints, no iteration cap, no ring closure handling, 2D only.",,Round off the sharp corners of this shape to make it smooth.,194
"ST_Expand(p_geom geometry, p_amount double precision)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Expands the bounding box by `amount` in all 4 directions.,Supported in 2D,PostGIS supports expanding a 3D/4D bounding box (adding dz and dm parameters). YB: expands a 2D bounding box only.,"Possible, by building a C-extension geometry type. A proper struct explicitly supports Z and M dimensions, allowing the expansion logic to apply across all axes.",Make this bounding box slightly larger in all directions.,195
ST_Summary(p_geom geometry),Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,"Text description: geometry type, vertex count, bounding box.",Supported in 2D,"PostGIS provides summary strings for all complex types (MultiPolygons, GeometryCollections) and explicitly flags Z/M dimensions. YB: only reports on 3 basic types (Point, LineString, Polygon) in 2D.","Possible, by building a C-extension geometry type. A proper struct includes header bytes identifying the exact geometry type and dimensional flags, allowing the summary function to accurately describe complex shapes.",Give me a quick text summary of what this shape is and how big its bounding box is.,196
"ST_AddPoint(p_geom geometry, p_point geometry, p_position integer DEFAULT -1)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Vertex editing (0-based index).,Supported in 2D,PostGIS explicitly restricts this to LineStrings (fails on Polygons/Points) and correctly splices 3D/M coordinates. YB: blindly splices the 2D array without type-checking.,"Possible, by building a C-extension geometry type. A proper struct allows strict type validation (rejecting non-LineStrings) and handles multi-dimensional coordinate splicing.",Insert a new coordinate into this line.,197
"ST_RemovePoint(p_geom geometry, p_index integer)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Vertex editing (0-based index).,Supported in 2D,PostGIS explicitly restricts this to LineStrings and safely removes multi-dimensional coordinates. YB: blindly splices the 2D array without type-checking.,"Possible, by building a C-extension geometry type. A proper struct allows strict type validation (rejecting non-LineStrings) and handles multi-dimensional coordinate removal.",Delete a specific coordinate from this line.,198
"ST_SetPoint(p_geom geometry, p_index integer, p_point geometry)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Vertex editing (0-based index).,Supported in 2D,PostGIS explicitly restricts this to LineStrings and safely replaces multi-dimensional coordinates. YB: blindly overwrites the 2D array index without type-checking.,"Possible, by building a C-extension geometry type. A proper struct allows strict type validation (rejecting non-LineStrings) and handles multi-dimensional coordinate replacement.",Replace a specific coordinate in this line with a new one.,199
"ST_Project(p_point geometry, p_distance double precision, -- meters p_azimuth double precision -- radians)",Section 7: Tier2_GeometryFunctions.sql - Define the tier 2 geometry functions,Yes,Forward geodesic projection using Vincenty direct formula on WGS84.,Approximate,"PostGIS geometry ST_Project uses GeographicLib on the ellipsoid. YB: spherical approximation (R=6371km), not ellipsoidal.",,"If I start here, face a specific direction, and walk 500 feet, where do I end up?",200
ST_ConvexHull(p_geom geometry),Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Graham scan convex hull. (smallest convex polygon that encloses all the points.) Convex is a polygon that has no corner that’s \>= 180 degree,Partial,"PostGIS uses GEOS; handles any geometry type including Multi* and GeometryCollection; returns Point/LineString for degenerate cases. YB: correct Graham scan but no multi-geometry, O(n^2) sort.",,Wrap a tight rubber band around all these points and give me that shape.,201
"ST_Intersection(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Sutherland-Hodgman polygon clipping. Exact for convex polygons.,Partial,"PostGIS uses GEOS for exact boolean intersection on any geometry type; supports gridSize param. YB: Sutherland-Hodgman — exact for convex polygons only, approximate for non-convex.",,Give me the new shape created by the exact overlapping area of shape A and shape B.,202
"ST_Union(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Convex hull of combined vertices. Approximate for non-convex shapes.,Approximate,PostGIS uses GEOS for exact boolean union on any geometry type; supports gridSize param and aggregate form. YB: returns convex hull of combined vertices — not a true union.,,Melt shape A and shape B together into one giant shape.,203
"ST_Difference(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Vertices of A outside B plus intersection points along edges. Exact for convex shapes.,Partial,PostGIS uses GEOS for exact boolean difference on any geometry type; supports gridSize param. YB: vertex-based approach — exact for convex polygon pairs only.,,"Cut shape B out of shape A, and give me what is left over.",204
"ST_SymDifference(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,"Convex hull of (A\B union B\A). Approximate. ST_Difference(A, B) returns the part of A that is NOT inside B",Approximate,PostGIS uses GEOS for exact symmetric difference on any geometry type; supports gridSize param. YB: returns convex hull of the two differences — not a true symmetric difference.,,Give me the parts of shape A and shape B that DO NOT overlap.,205
"ST_Buffer(p_geom geometry, p_distance double precision, p_segments integer DEFAULT 8)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Point: generates circular polygon. Polygon: offsets vertices along bisector normals. Approximate.,Approximate,"PostGIS uses GEOS for precise buffer with configurable end cap/join styles (round/flat/mitre) and quad_segs. YB: point=circle approximation, polygon=rough vertex offset along bisector normals, no arc segments at corners, no style options.",,Draw a border exactly 5 miles outward around this entire shape.,206
ST_IsValid(p_geom geometry),Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,"Checks for empty arrays, NaN/Inf coordinates, self-intersecting edges, and non-zero area for polygons.",Partial,"PostGIS uses GEOS for full OGC validity (ring orientation, nesting, duplicate rings, etc.); supports flags param for ESRI mode. YB: basic checks only (empty/NaN/self-intersection/zero-area), no flags param.",,"Check if this shape is mathematically sound (e.g., lines don't cross themselves).",207
"ST_Touches(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,True if boundaries contact but interiors do not overlap.,Partial,"PostGIS uses GEOS DE-9IM (patterns FT*******, F**T*****, F***T****); handles all geometry types. YB: simplified boundary-distance check, no full DE-9IM.",,Do the borders of these two shapes touch without overlapping?,208
"ST_Crosses(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,True if geometries have partial interior intersection at lower dimensions.,Partial,PostGIS uses GEOS DE-9IM; handles all dimension combinations per OGC spec. YB: simplified — only handles line-vs-polygon and line-vs-line cases.,,Does this line slice completely through this polygon?,209
"ST_Overlaps(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,True if same-dimension geometries partially overlap and neither contains the other.,Partial,"PostGIS uses GEOS DE-9IM; handles all same-dimension geometry pairs. YB: simplified — checks intersects + neither-contains, no full DE-9IM.",,Do these two polygons partially cover each other like a Venn diagram?,210
"ST_Equals(p_a geometry, p_b geometry)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Topological equality. For polygons: mutual containment. For lines/points: same vertices in any order.,Partial,"PostGIS uses GEOS DE-9IM for topological equality; handles all geometry types. YB: mutual ST_Contains for polygons, vertex-by-vertex for lines. No multi-geometry.",,Are these two shapes physically identical in space?,211
"ST_Simplify_vw(p_geom geometry, p_area_threshold double precision)",Section 8: Tier3_GeometryFunctions.sql - Define the tier 3 geometry functions,Yes,Visvalingam-Whyatt algorithm. Removes vertices by effective triangle area.(remove dots that doesn’t change the polygon),Partial,"PostGIS Visvalingam-Whyatt handles all geometry types; supports 3D. YB: correct VW but no multi-geometry, no 3D.",,Remove visually insignificant corners to make the shape smaller.,212
geohash8_fully_within_polygon(p_hashes text[]),Section 9: GeohashPolygonFunctions.sql - Define the geohash polygon functions,No (YB custom),"Given 3-5 geohash strings that define polygon vertices, returns all precision-8 cells fully contained within it.",N/A (YB Custom),,,Find all the tiny Geohash squares that fit completely inside this large shape.,213
"geohash8_fully_within_polygon(p1 text, p2 text, p3 text, p4 text DEFAULT NULL, p5 text DEFAULT NULL )",Section 9: GeohashPolygonFunctions.sql - Define the geohash polygon functions,No (YB custom),"Given 3-5 geohash strings that define polygon vertices, returns all precision-8 cells fully contained within it.",N/A (YB Custom),,,Find all the tiny Geohash squares that fit completely inside this large shape.,214
"geohash_cells_for_bbox(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision, p_precision integer)",Section 10: GeohashBboxFunctions.sql - Define the geohash bbox functions,No (YB custom),Enumerates all geohash cells covering a bounding box at the given precision. Core function for the two-phase query pattern.,N/A (YB Custom),,,Give me a list of all the Geohash squares that cover this large rectangle.,215
"geohash_cells_for_bbox(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision)",Section 10: GeohashBboxFunctions.sql - Define the geohash bbox functions,No (YB custom),Enumerates all geohash cells covering a bounding box at the given precision. Core function for the two-phase query pattern.,N/A (YB Custom),,,Give me a list of all the Geohash squares that cover this large rectangle.,216
"geohash_cells_for_bbox(p_lon_min numeric, p_lat_min numeric, p_lon_max numeric, p_lat_max numeric, p_precision integer)",Section 10: GeohashBboxFunctions.sql - Define the geohash bbox functions,No (YB custom),Enumerates all geohash cells covering a bounding box at the given precision. Core function for the two-phase query pattern.,N/A (YB Custom),,,Give me a list of all the Geohash squares that cover this large rectangle.,217
"geohash_cells_for_bbox(p_lon_min numeric, p_lat_min numeric, p_lon_max numeric, p_lat_max numeric)",Section 10: GeohashBboxFunctions.sql - Define the geohash bbox functions,No (YB custom),Enumerates all geohash cells covering a bounding box at the given precision. Core function for the two-phase query pattern.,N/A (YB Custom),,,Give me a list of all the Geohash squares that cover this large rectangle.,218
